,id,name,blurb,goal,pledged,state,slug,disable_communication,country,currency,currency_trailing_code,deadline,state_changed_at,created_at,launched_at,staff_pick,backers_count,static_usd_rate,usd_pledged,spotlight,name_len,name_len_clean,blurb_len,blurb_len_clean,deadline_weekday,state_changed_at_weekday,created_at_weekday,launched_at_weekday,deadline_month,deadline_day,deadline_yr,deadline_hr,state_changed_at_month,state_changed_at_day,state_changed_at_yr,state_changed_at_hr,created_at_month,created_at_day,created_at_yr,created_at_hr,launched_at_month,launched_at_day,launched_at_yr,launched_at_hr,create_to_launch_days,launch_to_deadline_days,launch_to_state_change_days,SuccessfulBool,USorGB,TOPCOUNTRY,LaunchedTuesday,DeadlineWeekend
0,1454391034,Auntie Di's Music Time Sign ASL for Hearing and HOH Children,MTS ASL Curriculum Workbook is a reproducible study book to build Early Literacy and Academic skills for primary school age children.,1500,0,failed,auntie-dis-music-time-sign-asl-for-hearing-and-hoh,FALSE,US,USD,TRUE,1/23/15 10:35,1/23/15 10:35,11/29/14 22:55,12/17/14 13:47,FALSE,0,1,0,FALSE,11,9,21,16,Friday,Friday,Saturday,Wednesday,1,23,2015,10,1,23,2015,10,11,29,2014,22,12,17,2014,13,17,36,36,0,1,1,0,0
1,1655206086,Jump Start Kindergarten Toolkit,"This kit teaches how to print, correct an ugly grasp, and how to make sure your child's fine motor skills are kindergarten ready!",500,0,failed,jump-start-kindergarten-toolkit,FALSE,US,USD,TRUE,5/1/15 16:13,5/1/15 16:13,2/20/15 9:28,3/2/15 16:13,FALSE,0,1,0,FALSE,4,4,23,15,Friday,Friday,Friday,Monday,5,1,2015,16,5,1,2015,16,2,20,2015,9,3,2,2015,16,10,60,60,0,1,1,0,0
2,311581827,Ojukwu Balewa Awolowo (O.B.A.) Public Library Of Nigeria,"Establishing a free, world-class, public library which will be a center  for curating and disseminating knowledge in Nigeria.",100000,120,failed,ojukwu-balewa-awolowo-oba-public-library-of-nigeri,FALSE,US,USD,TRUE,3/26/15 8:17,3/26/15 8:17,1/24/15 0:08,1/25/15 8:17,FALSE,5,1,120,FALSE,8,8,18,10,Thursday,Thursday,Saturday,Sunday,3,26,2015,8,3,26,2015,8,1,24,2015,0,1,25,2015,8,1,60,60,0,1,1,0,0
3,859724515,"MASTIZE - [mas-TAHYZ, MAS-tahyz]  - to spread","Goal: Introducing a new word into the English language/dictionary.
Reason: The beauty of the English language is the freedom to create.",5000,0,failed,mastize-mas-tahyz-mas-tahyz-to-spread,FALSE,US,USD,TRUE,10/6/14 0:41,10/6/14 0:41,9/5/14 22:30,9/6/14 0:41,FALSE,0,1,0,FALSE,7,6,21,13,Monday,Monday,Friday,Saturday,10,6,2014,0,10,6,2014,0,9,5,2014,22,9,6,2014,0,0,30,30,0,1,1,0,0
4,1613604977,"Synopse der EU-DSGVO - Artikel, Erwägungsgründe, BDSG-§§",Zu den Artikeln der DSGVO sind die korrespondierenden Erwägungsgründe und die vergleichbaren Regelungen aus dem BDSG gegenüber gestellt,3222,356,failed,synopse-der-eu-dsgvo-artikel-erwagungsgrunde-bdsg,FALSE,DE,EUR,FALSE,6/27/16 12:00,6/27/16 12:00,5/25/16 14:09,5/26/16 5:57,FALSE,17,1.11461347,396.8023953,FALSE,7,7,18,18,Monday,Monday,Wednesday,Thursday,6,27,2016,12,6,27,2016,12,5,25,2016,14,5,26,2016,5,0,32,32,0,0,0,0,0
5,808486483,Shadow School Board - Reforming Texas School Boards,"Shadow School Board will provide parents & taxpayers a ""how-to manual"" to restore accountability to your school district's real board.",13000,1136,failed,shadow-school-board-reforming-texas-school-boards,FALSE,US,USD,TRUE,11/20/15 10:28,11/20/15 10:28,10/19/15 7:24,10/21/15 10:28,FALSE,12,1,1136,FALSE,8,8,20,15,Friday,Friday,Monday,Wednesday,11,20,2015,10,11,20,2015,10,10,19,2015,7,10,21,2015,10,2,30,30,0,1,1,0,0
6,883246296,"Research in HIV prevention, treatment, and aid",I want to create an organization that is composed of selfless people who are dedicated to prevent HIV related deaths and transmission.,50000,0,failed,research-in-hiv-prevention-treatment-and-aid,FALSE,US,USD,TRUE,5/29/15 22:12,5/29/15 22:12,4/29/15 20:57,4/29/15 22:12,FALSE,0,1,0,FALSE,7,5,22,13,Friday,Friday,Wednesday,Wednesday,5,29,2015,22,5,29,2015,22,4,29,2015,20,4,29,2015,22,0,30,30,0,1,1,0,0
7,242834615,Cardinal Investment Club,"Group of passionate and eager students gaining experience in the Stock market through research, collaboration and hard work.",10000,0,failed,cardinal-investment-club,FALSE,US,USD,TRUE,9/27/15 10:36,9/27/15 10:36,8/13/15 9:22,8/13/15 10:36,FALSE,0,1,0,FALSE,3,3,18,12,Sunday,Sunday,Thursday,Thursday,9,27,2015,10,9,27,2015,10,8,13,2015,9,8,13,2015,10,0,45,45,0,1,1,0,1
8,2079785043,V.I.P.-Architecture,"V.I.P.-Architecture shows the most iconic, the most famous and most important buildings of our planet in one book.",6000,153,failed,vip-architecture,FALSE,DE,EUR,FALSE,3/8/16 5:46,3/8/16 5:46,2/5/16 10:50,2/7/16 5:46,FALSE,7,1.1159282,170.7370146,FALSE,1,1,18,9,Tuesday,Tuesday,Friday,Sunday,3,8,2016,5,3,8,2016,5,2,5,2016,10,2,7,2016,5,1,30,30,0,0,0,0,0
9,1624645868,Collected Works of Ross Wells,"A collection of plays, screenplays, and photographs from the productions written by Ross Wells, Texas playwright, director, and actor.",15000,0,failed,collected-works-of-ross-wells,FALSE,US,USD,TRUE,12/2/15 17:19,12/2/15 17:19,11/1/15 9:02,11/2/15 17:19,FALSE,0,1,0,FALSE,5,4,19,13,Wednesday,Wednesday,Sunday,Monday,12,2,2015,17,12,2,2015,17,11,1,2015,9,11,2,2015,17,1,30,30,0,1,1,0,0
